Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
Bachelors,Information Technology,5,3.31,69,"IT Project Management, Blockchain","Data Science in Information Technology, Cloud Innovations in Information Technology","IoT, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Big Data, IoT",33,Non-Binary,Private University,0,3.4
PhD,Information Technology,15,3.92,50,"IT Project Management, IoT, Blockchain",Data Science in Information Technology,"Web Development, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Big Data,74,Non-Binary,Private University,28,4.3
Masters,Computer Science,17,4.0,60,"Software Engineering, Cybersecurity","Data Science in Computer Science, AI in Computer Science","Algorithms, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Machine Learning,51,Female,Open University,3,3.3
PhD,Computer Science,26,4.0,87,"Algorithms, Data Structures, Machine Learning, Operating Systems","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Cybersecurity, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Data Structures,82,Non-Binary,State University,24,3.1
PhD,Computer Science,24,3.56,79,"Artificial Intelligence, Data Structures, Machine Learning, Operating Systems","AI in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,Algorithms,68,Female,State University,28,4.4
Bachelors,Information Technology,2,3.42,63,"Web Development, Database Systems, Network Security",Data Science in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"IoT, Big Data",29,Non-Binary,Community College,0,4.7
Bachelors,Information Technology,7,3.57,79,"Big Data, IoT",Cloud Innovations in Information Technology,"Network Security, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Web Development, Network Security",35,Non-Binary,Private University,3,4.5
Masters,Computer Science,16,4.0,87,"Data Structures, Artificial Intelligence, Algorithms",Cloud Innovations in Computer Science,"Algorithms, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Data Structures, Data Science",46,Non-Binary,Open University,9,3.6
Bachelors,Information Technology,4,3.4499999999999997,69,"Cloud Computing, Blockchain, Network Security","AI in Information Technology, Data Science in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Network Security, Cloud Computing",30,Non-Binary,Community College,2,4.9
PhD,Information Technology,12,3.9800000000000004,78,"IT Project Management, IoT",AI in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,Network Security,66,Non-Binary,Community College,10,4.3
Masters,Information Technology,6,3.73,73,"Blockchain, Web Development, Network Security","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,IoT,50,Female,Private University,8,3.0
Masters,Computer Science,17,3.76,100,"Machine Learning, Data Science, Algorithms, Operating Systems",AI in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"Artificial Intelligence, Operating Systems",46,Non-Binary,Open University,14,4.4
PhD,Computer Science,14,3.54,100,"Cybersecurity, Data Science, Algorithms","AI in Computer Science, Cybersecurity Trends in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Data Science, Data Structures",62,Non-Binary,Open University,25,4.3
Bachelors,Computer Science,6,3.25,73,"Software Engineering, Machine Learning, Cybersecurity","Cybersecurity Trends in Computer Science, AI in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Cybersecurity,31,Female,Open University,0,4.6
Bachelors,Information Technology,4,3.89,58,"IT Project Management, Database Systems, Web Development",Cloud Innovations in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Web Development, Big Data",30,Non-Binary,Private University,3,4.3
PhD,Information Technology,25,3.75,96,"Big Data, IoT, Web Development",Cybersecurity Trends in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Big Data, IT Project Management",71,Female,Community College,28,3.6
Bachelors,Information Technology,6,3.44,57,"Cloud Computing, IT Project Management, Web Development, Blockchain","Data Science in Information Technology, AI in Information Technology",Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Network Security, IoT",31,Male,Community College,5,3.6
Masters,Computer Science,20,3.33,71,"Data Science, Artificial Intelligence","Cybersecurity Trends in Computer Science, Data Science in Computer Science, AI in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Artificial Intelligence,51,Female,Private University,13,3.4
Bachelors,Information Technology,8,3.34,52,"Network Security, Big Data","Cloud Innovations in Information Technology, Data Science in Information Technology, AI in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,IoT,41,Male,State University,2,3.7
Masters,Computer Science,20,4.0,91,"Operating Systems, Data Structures, Artificial Intelligence, Cybersecurity","Data Science in Computer Science, AI in Computer Science, Cloud Innovations in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Machine Learning, Software Engineering",52,Non-Binary,Open University,6,3.4
Bachelors,Computer Science,9,3.3,76,"Cybersecurity, Data Science, Data Structures","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"Data Science, Machine Learning",32,Non-Binary,Open University,5,3.0
Bachelors,Computer Science,2,3.5599999999999996,99,"Algorithms, Artificial Intelligence, Data Science",Cybersecurity Trends in Computer Science,Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Data Structures, Operating Systems",24,Female,State University,3,3.4
Bachelors,Information Technology,9,3.37,73,"Database Systems, Blockchain, IT Project Management, Web Development","Cloud Innovations in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology","IoT, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,"Blockchain, Network Security",41,Non-Binary,Private University,2,3.1
Masters,Computer Science,17,4.0,100,"Data Structures, Artificial Intelligence, Cybersecurity, Operating Systems",Data Science in Computer Science,"Data Structures, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Algorithms,51,Non-Binary,State University,2,3.3
PhD,Computer Science,12,3.44,58,"Data Structures, Cybersecurity","AI in Computer Science, Cybersecurity Trends in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,Operating Systems,50,Female,Private University,14,4.3
PhD,Information Technology,16,3.36,67,"IoT, Cloud Computing, Web Development, IT Project Management","Cloud Innovations in Information Technology, AI in Information Technology","Network Security, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,IT Project Management,67,Non-Binary,Private University,17,3.4
Bachelors,Computer Science,10,3.4200000000000004,72,"Algorithms, Machine Learning, Data Structures, Data Science",AI in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Algorithms,41,Male,Community College,1,4.3
Bachelors,Information Technology,1,2.7800000000000002,56,"IoT, Blockchain, Network Security","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Blockchain, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Network Security, Database Systems",31,Non-Binary,Community College,1,4.4
PhD,Computer Science,21,3.96,65,"Algorithms, Operating Systems, Data Structures","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Data Science, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Algorithms, Software Engineering",56,Non-Binary,Open University,9,4.5
PhD,Information Technology,24,3.54,94,"Web Development, Cloud Computing, IoT","AI in Information Technology, Cloud Innovations in Information Technology, Data Science in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Big Data, Database Systems",82,Female,State University,27,3.2
Masters,Information Technology,10,3.8099999999999996,53,"Network Security, IoT","Data Science in Information Technology, Cloud Innovations in Information Technology, AI in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Big Data, Database Systems",42,Male,Private University,2,4.7
Masters,Computer Science,20,4.0,83,"Machine Learning, Software Engineering","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Machine Learning,55,Non-Binary,Private University,15,4.3
Masters,Computer Science,12,3.9,52,"Data Structures, Operating Systems, Software Engineering",Cloud Innovations in Computer Science,Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,Cybersecurity,53,Non-Binary,Community College,3,3.5
Bachelors,Information Technology,3,3.58,70,"Blockchain, Web Development",Data Science in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"IoT, Database Systems",38,Non-Binary,Community College,0,4.3
Bachelors,Information Technology,9,3.65,77,"Web Development, Cloud Computing, IoT","Cloud Innovations in Information Technology, AI in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,IoT,34,Non-Binary,Open University,2,3.3
Masters,Computer Science,11,3.59,63,"Data Structures, Software Engineering, Artificial Intelligence, Algorithms",Cloud Innovations in Computer Science,Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Machine Learning, Operating Systems",53,Female,State University,14,4.2
PhD,Computer Science,29,4.0,60,"Operating Systems, Algorithms, Data Structures, Machine Learning",Cloud Innovations in Computer Science,Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Artificial Intelligence, Machine Learning",74,Female,State University,6,4.6
PhD,Computer Science,15,4.0,87,"Algorithms, Software Engineering, Machine Learning","AI in Computer Science, Cybersecurity Trends in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,Machine Learning,58,Female,Private University,12,4.3
Masters,Information Technology,5,4.0,99,"Cloud Computing, Blockchain, Web Development","Cloud Innovations in Information Technology, AI in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,IT Project Management,33,Male,Private University,6,3.8
Bachelors,Information Technology,3,3.29,78,"Web Development, IoT","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Blockchain, Database Systems",38,Non-Binary,Community College,2,4.7
Masters,Computer Science,13,3.77,96,"Data Science, Software Engineering","Data Science in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science","Data Science, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,"Cybersecurity, Data Structures",53,Non-Binary,Open University,9,3.9
Bachelors,Computer Science,3,3.42,89,"Data Structures, Artificial Intelligence","Data Science in Computer Science, Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Data Structures, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Operating Systems,38,Male,State University,3,3.9
Masters,Computer Science,9,4.0,96,"Cybersecurity, Data Structures","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Machine Learning, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cybersecurity,54,Male,Community College,0,3.1
PhD,Computer Science,11,3.5900000000000003,72,"Cybersecurity, Algorithms",Cybersecurity Trends in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Software Engineering,58,Male,State University,26,3.5
Masters,Computer Science,20,3.78,94,"Data Science, Cybersecurity",AI in Computer Science,Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Data Structures, Software Engineering",59,Non-Binary,Private University,12,3.1
PhD,Computer Science,11,4.0,82,"Data Structures, Operating Systems, Algorithms",Data Science in Computer Science,Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Software Engineering, Cybersecurity",60,Male,Private University,25,4.6
Bachelors,Computer Science,3,3.32,73,"Artificial Intelligence, Operating Systems, Cybersecurity","AI in Computer Science, Cloud Innovations in Computer Science","Machine Learning, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Artificial Intelligence,34,Non-Binary,Open University,4,3.8
PhD,Information Technology,21,3.51,59,"Cloud Computing, Web Development, Network Security, Blockchain",Cybersecurity Trends in Information Technology,IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"IoT, Cloud Computing",68,Male,Private University,27,3.7
PhD,Information Technology,16,3.43,93,"Blockchain, Cloud Computing",Cybersecurity Trends in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"IT Project Management, Cloud Computing",67,Female,Private University,7,3.7
Masters,Computer Science,15,3.66,99,"Data Structures, Algorithms, Software Engineering","AI in Computer Science, Cloud Innovations in Computer Science","Operating Systems, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Operating Systems,51,Male,Community College,8,3.3
Masters,Computer Science,15,3.77,93,"Artificial Intelligence, Data Structures","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Data Structures, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Artificial Intelligence, Software Engineering",53,Male,State University,15,4.7
Bachelors,Computer Science,9,3.8,63,"Algorithms, Data Structures, Machine Learning, Software Engineering","Data Science in Computer Science, AI in Computer Science","Software Engineering, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Data Structures, Algorithms",39,Female,Open University,3,3.4
Masters,Information Technology,7,3.9299999999999997,67,"Big Data, Network Security, Database Systems",Data Science in Information Technology,"Web Development, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,Web Development,38,Non-Binary,Open University,4,4.3
Masters,Information Technology,6,3.29,63,"Web Development, IoT, Database Systems","Cloud Innovations in Information Technology, AI in Information Technology","Cloud Computing, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Big Data,51,Non-Binary,State University,9,3.4
Bachelors,Computer Science,5,4.0,90,"Software Engineering, Data Science, Algorithms","AI in Computer Science, Data Science in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Data Structures, Operating Systems",28,Non-Binary,Private University,5,4.4
PhD,Computer Science,12,3.29,78,"Data Structures, Operating Systems, Algorithms, Data Science","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science","Machine Learning, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,Software Engineering,61,Female,State University,16,4.8
Masters,Information Technology,15,3.23,94,"Blockchain, Network Security, Big Data, Web Development","Cybersecurity Trends in Information Technology, AI in Information Technology, Data Science in Information Technology","IoT, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,"IT Project Management, Cloud Computing",57,Female,State University,15,4.8
Masters,Information Technology,10,3.95,73,"Web Development, Big Data, Blockchain","AI in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Cloud Computing, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Web Development,40,Female,State University,9,4.6
Masters,Computer Science,9,4.0,84,"Algorithms, Machine Learning, Data Science",Cloud Innovations in Computer Science,"Data Science, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Artificial Intelligence, Operating Systems",47,Female,State University,2,4.6
PhD,Computer Science,10,3.49,97,"Machine Learning, Artificial Intelligence, Data Science",Cloud Innovations in Computer Science,"Data Science, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,Data Structures,64,Non-Binary,Open University,16,3.5
Masters,Computer Science,13,3.3000000000000003,64,"Algorithms, Data Structures, Operating Systems","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Cybersecurity, Artificial Intelligence",47,Female,Open University,10,3.7
Masters,Computer Science,20,3.8699999999999997,61,"Algorithms, Cybersecurity","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, Data Science in Computer Science","Cybersecurity, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,Data Structures,47,Female,Community College,7,3.4
Masters,Information Technology,14,3.21,64,"IT Project Management, Web Development, Blockchain, IoT","Cybersecurity Trends in Information Technology, AI in Information Technology","Big Data, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cloud Computing,43,Female,Private University,15,4.3
Masters,Computer Science,12,3.33,63,"Cybersecurity, Data Structures","Data Science in Computer Science, Cloud Innovations in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Algorithms, Cybersecurity",49,Non-Binary,Private University,3,3.4
Masters,Information Technology,19,3.58,72,"Big Data, Web Development, Database Systems, Blockchain","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,Network Security,59,Female,Community College,10,3.7
Masters,Computer Science,7,3.6100000000000003,72,"Data Science, Data Structures, Machine Learning",Cloud Innovations in Computer Science,"Artificial Intelligence, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Algorithms,46,Non-Binary,State University,6,3.4
PhD,Computer Science,15,3.72,81,"Cybersecurity, Data Structures, Artificial Intelligence","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science, Data Science in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Operating Systems, Software Engineering",64,Male,Community College,16,3.6
PhD,Information Technology,27,3.3000000000000003,64,"Database Systems, Big Data",Data Science in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Web Development, Blockchain",65,Female,Private University,21,3.5
Bachelors,Computer Science,7,3.71,60,"Machine Learning, Artificial Intelligence, Software Engineering","AI in Computer Science, Cloud Innovations in Computer Science","Algorithms, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Operating Systems, Machine Learning",39,Non-Binary,State University,0,3.4
Bachelors,Information Technology,6,3.31,58,"Blockchain, Cloud Computing","Cybersecurity Trends in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"IT Project Management, Database Systems",31,Non-Binary,Private University,2,3.3
Bachelors,Computer Science,2,3.1999999999999997,51,"Data Science, Data Structures, Artificial Intelligence","AI in Computer Science, Data Science in Computer Science, Cloud Innovations in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Data Science, Data Structures",33,Male,Private University,3,3.1
Bachelors,Information Technology,3,3.79,66,"Network Security, Database Systems, Web Development, Cloud Computing",AI in Information Technology,"Network Security, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Network Security, Big Data",28,Female,Open University,2,3.9
Masters,Information Technology,5,3.8899999999999997,74,"Web Development, Database Systems, IoT, Big Data","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology, AI in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Big Data, Blockchain",31,Male,State University,7,4.9
Bachelors,Computer Science,3,3.1399999999999997,55,"Artificial Intelligence, Cybersecurity, Software Engineering","Cybersecurity Trends in Computer Science, AI in Computer Science","Data Science, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Artificial Intelligence, Data Science",26,Male,State University,2,4.7
Bachelors,Computer Science,6,3.44,89,"Data Structures, Operating Systems, Data Science, Artificial Intelligence","Cybersecurity Trends in Computer Science, AI in Computer Science, Data Science in Computer Science","Data Science, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cybersecurity,38,Male,Open University,4,3.7
